index,status,pokedex_number,name,generation,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
55,"Generic",42,"Golbat",1,"Poison","Flying",1.6,55,"Inner Focus","","Infiltrator",455,75,80,70,65,75,90,90,50,159,"Medium Fast","Flying","",50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
56,"Generic",43,"Oddish",1,"Grass","Poison",0.5,5.4,"Chlorophyll","","Run Away",320,45,50,55,75,65,30,255,50,64,"Medium Slow","Grass","",50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
57,"Generic",44,"Gloom",1,"Grass","Poison",0.8,8.6,"Chlorophyll","","Stench",395,60,65,70,85,75,40,120,50,138,"Medium Slow","Grass","",50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
58,"Generic",45,"Vileplume",1,"Grass","Poison",1.2,18.6,"Chlorophyll","","Effect Spore",490,75,80,85,110,90,50,45,50,245,"Medium Slow","Grass","",50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
59,"Generic",46,"Paras",1,"Bug","Grass",0.3,5.4,"Effect Spore","Dry Skin","Damp",285,35,70,55,45,55,25,190,50,57,"Medium Fast","Bug","Grass",50,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
60,"Generic",47,"Parasect",1,"Bug","Grass",1,29.5,"Effect Spore","Dry Skin","Damp",405,60,95,80,60,80,30,75,50,142,"Medium Fast","Bug","Grass",50,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
61,"Generic",48,"Venonat",1,"Bug","Poison",1,30,"Compound Eyes","Tinted Lens","Run Away",305,60,55,50,40,55,45,190,50,61,"Medium Fast","Bug","",50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
62,"Generic",49,"Venomoth",1,"Bug","Poison",1.5,12.5,"Shield Dust","Tinted Lens","Wonder Skin",450,70,65,60,90,75,90,75,50,158,"Medium Fast","Bug","",50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
63,"Generic",50,"Diglett",1,"Ground","",0.2,0.8,"Sand Veil","Arena Trap","Sand Force",265,10,55,25,35,45,95,255,50,53,"Medium Fast","Field","",50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
64,"Generic",50,"Alolan Diglett",7,"Ground","Steel",0.2,1,"Sand Veil","Tangling Hair","Sand Force",265,10,55,30,35,45,90,255,50,53,"Medium Fast","Field","",50,20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
65,"Generic",51,"Dugtrio",1,"Ground","",0.7,33.3,"Sand Veil","Arena Trap","Sand Force",425,35,100,50,50,70,120,50,50,149,"Medium Fast","Field","",50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
66,"Generic",51,"Alolan Dugtrio",7,"Ground","Steel",0.7,66.6,"Sand Veil","Tangling Hair","Sand Force",425,35,100,60,50,70,110,50,50,149,"Medium Fast","Field","",50,20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
67,"Generic",52,"Meowth",1,"Normal","",0.4,4.2,"Pickup","Technician","Unnerve",290,40,45,35,40,40,90,255,50,58,"Medium Fast","Field","",50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
68,"Generic",52,"Alolan Meowth",7,"Dark","",0.4,4.2,"Pickup","Technician","Rattled",290,40,35,35,50,40,90,255,50,58,"Medium Fast","Field","",50,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
69,"Generic",52,"Galarian Meowth",8,"Steel","",0.4,7.5,"Pickup","Tough Claws","Unnerve",290,50,65,55,40,40,40,255,50,58,"Medium Fast","Field","",NaN,20,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
70,"Generic",53,"Persian",1,"Normal","",1,32,"Limber","Technician","Unnerve",440,65,70,60,65,65,115,90,50,154,"Medium Fast","Field","",50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
71,"Generic",53,"Alolan Persian",7,"Dark","",1.1,33,"Fur Coat","Technician","Rattled",440,65,60,60,75,65,115,90,50,154,"Medium Fast","Field","",50,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
72,"Generic",54,"Psyduck",1,"Water","",0.8,19.6,"Damp","Cloud Nine","Swift Swim",320,50,52,48,65,50,55,190,50,64,"Medium Fast","Field","Water 1",50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
73,"Generic",55,"Golduck",1,"Water","",1.7,76.6,"Damp","Cloud Nine","Swift Swim",500,80,82,78,95,80,85,75,50,175,"Medium Fast","Field","Water 1",50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
74,"Generic",56,"Mankey",1,"Fighting","",0.5,28,"Vital Spirit","Anger Point","Defiant",305,40,80,35,35,45,70,190,50,61,"Medium Fast","Field","",50,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
75,"Generic",57,"Primeape",1,"Fighting","",1,32,"Vital Spirit","Anger Point","Defiant",455,65,105,60,60,70,95,75,50,159,"Medium Fast","Field","",50,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
76,"Generic",58,"Growlithe",1,"Fire","",0.7,19,"Intimidate","Flash Fire","Justified",350,55,70,45,70,50,60,190,50,70,"Slow","Field","",75,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
77,"Generic",59,"Arcanine",1,"Fire","",1.9,155,"Intimidate","Flash Fire","Justified",555,90,110,80,100,80,95,75,50,194,"Slow","Field","",75,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
78,"Generic",60,"Poliwag",1,"Water","",0.6,12.4,"Water Absorb","Damp","Swift Swim",300,40,50,40,40,40,90,255,50,60,"Medium Slow","Water 1","",50,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
79,"Generic",61,"Poliwhirl",1,"Water","",1,20,"Water Absorb","Damp","Swift Swim",385,65,65,65,50,50,90,120,50,135,"Medium Slow","Water 1","",50,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
80,"Generic",62,"Poliwrath",1,"Water","Fighting",1.3,54,"Water Absorb","Damp","Swift Swim",510,90,95,95,70,90,70,45,50,255,"Medium Slow","Water 1","",50,20,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
81,"Generic",63,"Abra",1,"Psychic","",0.9,19.5,"Synchronize","Inner Focus","Magic Guard",310,25,20,15,105,55,90,200,50,62,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
82,"Generic",64,"Kadabra",1,"Psychic","",1.3,56.5,"Synchronize","Inner Focus","Magic Guard",400,40,35,30,120,70,105,100,50,140,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
83,"Generic",65,"Alakazam",1,"Psychic","",1.5,48,"Synchronize","Inner Focus","Magic Guard",500,55,50,45,135,95,120,50,50,250,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
84,"Generic",65,"Mega Alakazam",6,"Psychic","",1.2,48,"Trace","","",600,55,50,65,175,105,150,50,50,300,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
85,"Generic",66,"Machop",1,"Fighting","",0.8,19.5,"Guts","No Guard","Steadfast",305,70,80,50,35,35,35,180,50,61,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
86,"Generic",67,"Machoke",1,"Fighting","",1.5,70.5,"Guts","No Guard","Steadfast",405,80,100,70,50,60,45,90,50,142,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
87,"Generic",68,"Machamp",1,"Fighting","",1.6,130,"Guts","No Guard","Steadfast",505,90,130,80,65,85,55,45,50,253,"Medium Slow","Human-Like","",75,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
88,"Generic",69,"Bellsprout",1,"Grass","Poison",0.7,4,"Chlorophyll","","Gluttony",300,50,75,35,70,30,40,255,50,60,"Medium Slow","Grass","",50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
89,"Generic",70,"Weepinbell",1,"Grass","Poison",1,6.4,"Chlorophyll","","Gluttony",390,65,90,50,85,45,55,120,50,137,"Medium Slow","Grass","",50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
90,"Generic",71,"Victreebel",1,"Grass","Poison",1.7,15.5,"Chlorophyll","","Gluttony",490,80,105,65,100,70,70,45,50,245,"Medium Slow","Grass","",50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
91,"Generic",72,"Tentacool",1,"Water","Poison",0.9,45.5,"Clear Body","Liquid Ooze","Rain Dish",335,40,40,35,50,100,70,190,50,67,"Slow","Water 3","",50,20,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
92,"Generic",73,"Tentacruel",1,"Water","Poison",1.6,55,"Clear Body","Liquid Ooze","Rain Dish",515,80,70,65,80,120,100,60,50,180,"Slow","Water 3","",50,20,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
93,"Generic",74,"Geodude",1,"Rock","Ground",0.4,20,"Rock Head","Sturdy","Sand Veil",300,40,80,100,30,30,20,255,50,60,"Medium Slow","Mineral","",50,15,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
94,"Generic",74,"Alolan Geodude",7,"Rock","Electric",0.4,20.3,"Magnet Pull","Sturdy","Galvanize",300,40,80,100,30,30,20,255,50,60,"Medium Slow","Mineral","",50,15,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
95,"Generic",75,"Graveler",1,"Rock","Ground",1,105,"Rock Head","Sturdy","Sand Veil",390,55,95,115,45,45,35,120,50,137,"Medium Slow","Mineral","",50,15,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
96,"Generic",75,"Alolan Graveler",7,"Rock","Electric",1,110,"Magnet Pull","Sturdy","Galvanize",390,55,95,115,45,45,35,120,50,137,"Medium Slow","Mineral","",50,15,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
97,"Generic",76,"Golem",1,"Rock","Ground",1.4,300,"Rock Head","Sturdy","Sand Veil",495,80,120,130,55,65,45,45,50,248,"Medium Slow","Mineral","",50,15,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
98,"Generic",76,"Alolan Golem",7,"Rock","Electric",1.7,316,"Magnet Pull","Sturdy","Galvanize",495,80,120,130,55,65,45,45,50,248,"Medium Slow","Mineral","",50,15,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
99,"Generic",77,"Ponyta",1,"Fire","",1,30,"Run Away","Flash Fire","Flame Body",410,50,85,55,65,65,90,190,50,82,"Medium Fast","Field","",50,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
100,"Generic",77,"Galarian Ponyta",8,"Psychic","",0.8,24,"Run Away","Pastel Veil","Anticipation",410,50,85,55,65,65,90,190,50,82,"Medium Fast","Field","",NaN,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
101,"Generic",78,"Rapidash",1,"Fire","",1.7,95,"Run Away","Flash Fire","Flame Body",500,65,100,70,80,80,105,60,50,175,"Medium Fast","Field","",50,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
